connections,read_percent,write_percent,db_mem_coef,pgpool_cache_coef,read_cost,write_cost,effective,effective_coef
80,100,0,0.65,0.43333333333333335,29.05,0.0,True,1.0855849148566021
90,100,0,0.65,0.43333333333333335,29.05,0.0,True,1.0304216005167763
100,100,0,0.65,0.43333333333333335,29.05,0.0,True,1.0324497452753132
150,100,0,0.65,0.43333333333333335,29.05,0.0,True,2.429909325481045
210,100,0,0.65,0.43333333333333335,29.05,0.0,True,2.2183245814951666
280,100,0,0.65,0.43333333333333335,29.05,0.0,True,3.979663746966904
320,100,0,0.65,0.43333333333333335,29.05,0.0,True,2.152258904946772
80,100,0,0.775,0.5166666666666667,32.55,0.0,True,1.0349427661457693
90,100,0,0.775,0.5166666666666667,32.55,0.0,True,1.215279442756846
97,100,0,0.775,0.5166666666666667,32.55,0.0,False,0.664922695986454
100,100,0,0.775,0.5166666666666667,32.55,0.0,True,1.6291410426198318
150,100,0,0.775,0.5166666666666667,32.55,0.0,True,1.8730955074434124
170,100,0,0.775,0.5166666666666667,32.55,0.0,True,1.4735500843153495
210,100,0,0.775,0.5166666666666667,32.55,0.0,True,2.4982715811080167
250,100,0,0.775,0.5166666666666667,32.55,0.0,True,3.7516588222975384
280,100,0,0.775,0.5166666666666667,32.55,0.0,True,2.5311457881756403
320,100,0,0.775,0.5166666666666667,32.55,0.0,True,2.027735238870095
80,100,0,0.975,0.65,38.34,0.0,True,1.0966987466941498
90,100,0,0.975,0.65,38.34,0.0,True,1.1754239060025762
100,100,0,0.975,0.65,38.34,0.0,True,2.8321002507348436
150,100,0,0.975,0.65,38.34,0.0,True,2.2213510547994733
210,100,0,0.975,0.65,38.34,0.0,True,2.1373146348411414
280,100,0,0.975,0.65,38.34,0.0,True,1.409561780562034
320,100,0,0.975,0.65,38.34,0.0,True,8.038749154002188
97,100,0,1.285,0.8566666666666666,46.64,0.0,False,0.837417054089929
170,100,0,1.285,0.8566666666666666,46.64,0.0,True,1.4816315848842307
