connections,read_percent,write_percent,db_mem_coef,pgpool_cache_coef,read_cost,write_cost,not_effective
80,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
90,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
100,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
150,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
210,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
280,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
320,100,0,1.5384615384615383,2.3076923076923075,29.05,0.0,0
80,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
90,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
97,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,1
100,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
150,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
170,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
210,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
250,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
280,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
320,100,0,1.2903225806451613,1.9354838709677418,32.55,0.0,0
80,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
90,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
100,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
150,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
210,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
280,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
320,100,0,1.0256410256410258,1.5384615384615385,38.34,0.0,0
97,100,0,0.7782101167315175,1.1673151750972763,46.64,0.0,1
170,100,0,0.7782101167315175,1.1673151750972763,46.64,0.0,0
210,100,0,0.7782101167315175,1.1673151750972763,46.64,0.0,0
250,100,0,0.7782101167315175,1.1673151750972763,46.64,0.0,0
320,100,0,0.7782101167315175,1.1673151750972763,46.64,0.0,0
